month,Features,No,score,F1,AUC
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",45,0.6111111111111112,0.6666666666666666,0.6038961038961038
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",46,0.6666666666666666,0.7857142857142856,0.5230769230769231
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",47,0.8888888888888888,0.923076923076923,0.9285714285714286
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",48,0.5,0.5263157894736842,0.5
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",49,0.6111111111111112,0.7199999999999999,0.5416666666666667
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",50,0.6111111111111112,0.7586206896551725,0.5
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",51,0.7222222222222222,0.7826086956521738,0.6948051948051949
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",52,0.5555555555555556,0.6,0.5584415584415584
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",53,0.8333333333333334,0.8695652173913043,0.8116883116883118
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",54,0.5555555555555556,0.6923076923076923,0.4461538461538461
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",55,0.6111111111111112,0.7586206896551725,0.5
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",56,0.6666666666666666,0.7500000000000001,0.6461538461538461
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",57,0.7222222222222222,0.761904761904762,0.7207792207792209
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",58,0.5555555555555556,0.6923076923076923,0.48051948051948057
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",59,0.5555555555555556,0.6363636363636365,0.5416666666666667
36,"['CD4', 'PD-1', 'GAL 9 TIL', 'HLA TIL']",60,0.5,0.64,0.4107142857142857
