month,No,CD4,PD-1,GAL 9 TIL,HLA TIL,score,F1,AUC
36,35,0.5231009850900558,0.08289846874122411,0.16873655209241784,0.22526399407630238,0.4444444444444444,0.5833333333333334,0.3692307692307692
36,36,0.3667405894462874,0.0973070024518397,0.1152489289254653,0.42070347917640766,0.6111111111111112,0.7586206896551724,0.4230769230769231
36,37,0.5112510299969901,0.08319296918467403,0.15379091655409,0.2517650842642459,0.3888888888888889,0.5217391304347826,0.3888888888888889
36,38,0.44205577624536785,0.07380848202449068,0.1856021955373672,0.2985335461927744,0.5555555555555556,0.7142857142857143,0.5
36,39,0.314211696421134,0.10049854314445733,0.22360919838612792,0.3616805620482808,0.6111111111111112,0.7200000000000001,0.5714285714285714
36,40,0.47622486064149766,0.025267775960661574,0.1708039279007716,0.3277034354970692,0.6666666666666666,0.8,0.5
36,41,0.6321501454835965,0.05866686808505969,0.10788224317831449,0.20130074325302935,0.5,0.64,0.4076923076923077
36,42,0.3912623795736429,0.10477287950338658,0.11924665913809177,0.3847180817848787,0.4444444444444444,0.5,0.4923076923076923
36,43,0.4811612409040323,0.06346470299976259,0.21819807948633346,0.23717597660987166,0.7222222222222222,0.8,0.6846153846153846
36,44,0.2833894530504091,0.17247254772572507,0.2596161285199781,0.28452187070388774,0.3888888888888889,0.56,0.3181818181818182
36,45,0.4930418758228409,0.08784159540669498,0.0908261844392632,0.3282903443312009,0.6111111111111112,0.6666666666666666,0.6038961038961038
36,46,0.41577775803619643,0.1009630503374888,0.1945638901056733,0.2886953015206416,0.6666666666666666,0.7857142857142856,0.5230769230769231
36,47,0.3079635424659064,0.15780853937833428,0.2393742299411731,0.2948536882145863,0.8888888888888888,0.923076923076923,0.9285714285714286
36,48,0.5390166291681163,0.007999852995989858,0.16388222568046398,0.28910129215543,0.5,0.5263157894736842,0.5
36,49,0.3084421155513987,0.10245411440887148,0.16616196900633615,0.4229418010333937,0.6111111111111112,0.7199999999999999,0.5416666666666667
36,50,0.3058153231729782,0.1085193594041217,0.29902225087246054,0.28664306655043953,0.6111111111111112,0.7586206896551725,0.5
36,51,0.6464125481603794,0.01892283805098391,0.1724280429053717,0.162236570883265,0.7222222222222222,0.7826086956521738,0.6948051948051949
36,52,0.5174800591262451,0.13140795640210473,0.2355516066728207,0.11556037779882943,0.5555555555555556,0.6,0.5584415584415584
36,53,0.32349075850484227,0.18923294648036826,0.22401012395608386,0.2632661710587056,0.8333333333333334,0.8695652173913043,0.8116883116883118
36,54,0.5018223492557036,0.07529107417414317,0.1666389573096989,0.2562476192604543,0.5555555555555556,0.6923076923076923,0.4461538461538461
36,55,0.3418571134966766,0.15449866310494836,0.2358337828348867,0.2678104405634884,0.6111111111111112,0.7586206896551725,0.5
36,56,0.5171783946565053,0.10399291639354251,0.19576802905456495,0.18306065989538733,0.6666666666666666,0.7500000000000001,0.6461538461538461
36,57,0.43582417324027645,0.13195339455031835,0.13806801277273023,0.2941544194366751,0.7222222222222222,0.761904761904762,0.7207792207792209
36,58,0.4717608132746223,0.06076279532718648,0.13084314900729274,0.33663324239089853,0.5555555555555556,0.6923076923076923,0.48051948051948057
36,59,0.5270741936134888,0.10708163958721835,0.20292634646405527,0.16291782033523752,0.5555555555555556,0.6363636363636365,0.5416666666666667
36,60,0.5409733955256648,0.027837257850155492,0.21818102350512383,0.2130083231190559,0.5,0.64,0.4107142857142857
36,61,0.3788362374331175,0.10782029056066943,0.1398805139058825,0.37346295810033064,0.6666666666666666,0.7692307692307692,0.5974025974025974
36,62,0.47001640078344825,0.0713913162882146,0.16697938482301644,0.29161289810532065,0.5555555555555556,0.6923076923076924,0.4583333333333333
36,63,0.40115266048684306,0.1467439571299079,0.2545774566586765,0.1975259257245725,0.6111111111111112,0.631578947368421,0.6666666666666666
36,64,0.4880946690514061,0.07824370254520036,0.1697367737760285,0.2639248546273651,0.5,0.6666666666666666,0.34615384615384615
36,65,0.37262288239520236,0.11838312939832239,0.23690200996362376,0.27209197824285153,0.7222222222222222,0.8148148148148148,0.6230769230769231
36,66,0.4071271837968368,0.06754255112232695,0.17883430858057933,0.34649595650025694,0.5555555555555556,0.6363636363636364,0.5555555555555556
36,67,0.31183323726057566,0.11069658087513648,0.16306659394867135,0.41440358791561654,0.6666666666666666,0.7272727272727272,0.65
36,68,0.44304649737796914,0.07546193999287498,0.2775193844058448,0.20397217822331096,0.5,0.64,0.4107142857142857
36,69,0.3961507482654138,0.009381547201264934,0.14426711830779304,0.4502005862255282,0.6666666666666666,0.8000000000000002,0.46153846153846156
36,70,0.3600278866435478,0.16409683569847924,0.27513662765739283,0.20073865000058025,0.6666666666666666,0.7272727272727274,0.7076923076923077
36,71,0.5494631213006171,0.053021987842811875,0.17880292457882382,0.2187119662777472,0.6666666666666666,0.7500000000000001,0.6461538461538461
36,72,0.40016365799105746,0.08821081642497014,0.23820120866901234,0.27342431691496005,0.5,0.5714285714285714,0.5649350649350648
36,73,0.5713710659220735,0.02677925832449199,0.10399733857658602,0.29785233717684834,0.6111111111111112,0.7586206896551724,0.4230769230769231
36,74,0.35605567016944534,0.13140421728781976,0.25671941186250713,0.25582070068022794,0.7222222222222222,0.7826086956521738,0.6948051948051949
36,75,0.47714082676045116,0.05356045784837654,0.23371912123320587,0.2355795941579665,0.6111111111111112,0.72,0.6111111111111112
36,76,0.581603657093344,0.0,0.25034823110142085,0.16804811180523505,0.5,0.6086956521739131,0.45833333333333337
36,77,0.6069708234481157,0.03481805534729649,0.14396332277811652,0.21424779842647138,0.3333333333333333,0.5,0.3333333333333333
36,78,0.3588363581908905,0.11674894453317265,0.20609081113883115,0.3183238861371057,0.5,0.6086956521739131,0.461038961038961
36,79,0.4628399077771096,0.07117317109394827,0.22409289952183653,0.24189402160710555,0.7777777777777778,0.8461538461538461,0.7083333333333333
36,80,0.42675586274023464,0.05060908038000821,0.15820273113416544,0.36443232574559176,0.7222222222222222,0.7826086956521738,0.7083333333333334
36,81,0.5744478218471066,0.0,0.2603518426519759,0.16520033550091756,0.5,0.5714285714285713,0.48750000000000004
36,82,0.6506307381187244,0.006742068034822408,0.16553984626750298,0.17708734757895028,0.5555555555555556,0.6363636363636365,0.5375
36,83,0.38938576741810277,0.04848747424500154,0.25250824944447664,0.309618508892419,0.7777777777777778,0.8181818181818182,0.7662337662337664
36,84,0.38413700256500877,0.06958536856939919,0.2111627700649988,0.33511485880059333,0.6666666666666666,0.75,0.625
36,85,0.33937670764897543,0.15245119034889248,0.12993485952497183,0.37823724247716023,0.7777777777777778,0.8666666666666666,0.5892857142857143
36,86,0.4531835589123416,0.008048090231717927,0.3074066336048367,0.23136171725110388,0.7222222222222222,0.8,0.6688311688311688
36,87,0.3291864284879379,0.17087543403479305,0.2572854852098251,0.24265265226744412,0.5555555555555556,0.6923076923076923,0.48051948051948057
36,88,0.370019792619963,0.14596660669255487,0.257442018991696,0.2265715816957861,0.7777777777777778,0.846153846153846,0.7142857142857143
